roi_name,t,df,p,cohens_d,mean_real,mean_imag,mean_diff,p_perm,p_bonferroni
Alpha_Movement,1.7477946611791,16,0.0996595541047301,0.42390247058424,0.130258035309814,-0.343852044923157,0.474110080232971,0.082,0.39863821641892
Beta_Movement,-0.286345449866284,16,0.778288054476936,-0.0694489726596291,-0.202188834271554,-0.162701054568284,-0.0394877797032706,0.792,3.11315221790774
Beta_Rebound,-2.03662984242637,16,0.058586357341119,-0.493955291800528,-0.745527023745495,-0.385494963960556,-0.360032059784939,0.07,0.234345429364476
Alpha_Preparation,-0.067564858010802,16,0.946969155710553,-0.016386885068141,-0.0817678300024193,-0.0806549396477073,-0.00111289035471198,0.941,3.78787662284221
